"year","crop","area","production","yield","prop_area"
1963,"Anise, badian, fennel, coriander",100,50,0.5,0.000648304555223788
1963,"Apples",33.7,140,4.1543,0.000218478635110417
1963,"Apricots",2.8,8.5,3.0357,1.81525275462661e-05
1963,"Areca nuts",135,120,0.8889,0.000875211149552114
1963,"Bananas",193,2601,13.4767,0.00125122779158191
1963,"Barley",3019,2420,0.8016,0.0195723145222062
1963,"Bastfibres, other",685,417.46,0.6094,0.00444088620328295
1963,"Beans, dry",7040,1825.8,0.2593,0.0456406406877547
1963,"Beans, green",83,190,2.2892,0.000538092780835744
1963,"Berries nes",NA,1,NA,NA
1963,"Cabbages and other brassicas",23,305,13.2609,0.000149110047701471
1963,"Carrots and turnips",9,74,8.2222,5.83474099701409e-05
1963,"Cashew nuts, with shell",215,92,0.4279,0.00139385479373114
1963,"Cassava",247,1757,7.1134,0.00160131225140276
1963,"Castor",484,102,0.2107,0.00313779404728313
1963,"Cauliflowers and broccoli",40,410,10.25,0.000259321822089515
1963,"Cherries",1.25,3.2,2.56,8.10380694029735e-06
1963,"Chickpea",9193,5362,0.5833,0.0595986377617228
1963,"Chillies and peppers, dry",748,490,0.6551,0.00484931807307393
1963,"Chillies and peppers, green",2.89,17.3,5.9862,1.87360016459675e-05
1963,"Cocoa, beans",NA,NA,NA,NA
1963,"Coconuts",798,3511,4.3997,0.00517347035068583
1963,"Coffee, green",118,56.2,0.4763,0.00076499937516407
1963,"Coir",NA,175.6,NA,NA
1963,"Cotton",8160,3556,0.4358,0.0529016517062611
1963,"Cucumbers and gherkins",6.3,31.5,5,4.08431869790986e-05
1963,"Dry peas",1325.327,1026.21,0.7743,0.00859215531261077
1963,"Eggplants (aubergines)",162,1100,6.7901,0.00105025337946254
1963,"Figs",0.9,2,2.2222,5.83474099701409e-06
1963,"Fruit, citrus nes",2.5,25,10,1.62076138805947e-05
1963,"Fruit, fresh nes",145,860,5.931,0.000940041605074492
1963,"Fruit, stone nes",NA,0.5,NA,NA
1963,"Fruit, tropical fresh nes",235,1520,6.4681,0.0015235157047759
1963,"Garlic",40,144,3.6,0.000259321822089515
1963,"Ginger",23,21,0.913,0.000149110047701471
1963,"Grapefruit (inc. pomelos)",1.5,20,13.3333,9.72456832835682e-06
1963,"Grapes",5,80,16,3.24152277611894e-05
1963,"Groundnut",6886,5298,0.7694,0.04464225167271
1963,"Jute",869,1094.22,1.2592,0.00563376658489472
1963,"Lemons and limes",47,450,9.5745,0.00030470314095518
1963,"Lentils",767.273,349.521,0.4555,0.00497426581000221
1963,"Lettuce and chicory",59,271,4.5932,0.000382499687582035
1963,"Linseed",1904,430,0.2258,0.0123437187314609
1963,"Maize",4582,4561,0.9954,0.029705314720354
1963,"Mangoes, mangosteens, guavas",850,7000,8.2353,0.0055105887194022
1963,"Melons, other (inc.cantaloupes)",10,140,14,6.48304555223788e-05
1963,"Millet",18195.008,7921,0.4353,0.117959065687333
1963,"Mushrooms and truffles",NA,0.5,NA,NA
1963,"Nutmeg, mace and cardamoms",57,4,0.0702,0.000369533596477559
1963,"Okra",165,825,5,0.00106970251611925
1963,"Onions",120,1260,10.5,0.000777965466268545
1963,"Oranges",55,670,12.1818,0.000356567505373083
1963,"Other oilseeds",483,80,0.1656,0.0031313110017309
1963,"Other pulses",3439,1382,0.4019,0.0222951936541461
1963,"Papayas",7,236,33.7143,4.53813188656652e-05
1963,"Peaches and nectarines",10.8,49,4.537,7.00168919641691e-05
1963,"Pears",6.7,40,5.9701,4.34364051999938e-05
1963,"Peas, green",64,570,8.9063,0.000414914915343224
1963,"Pepper (piper spp.)",102,24,0.2353,0.000661270646328264
1963,"Pigeonpea",2452,1582,0.6452,0.0158964276940873
1963,"Pineapples",13.8,150,10.8696,8.94660286208827e-05
1963,"Plums and sloes",2.7,11,4.0741,1.75042229910423e-05
1963,"Poppy seed",NA,1,NA,NA
1963,"Potato",413,3365,8.1477,0.00267749781307424
1963,"Pumpkins, squash and gourds",140,940,6.7143,0.000907626377313303
1963,"Rape and mustard",3127,1303,0.4167,0.0202724834418478
1963,"Rice",35809.008,55497.008,1.5498,0.232151430044451
1963,"Rubber, natural",60,37.2,0.62,0.000388982733134273
1963,"Safflower",450,68,0.1511,0.00291737049850705
1963,"Sesame seed",2412,439,0.182,0.0156371058719978
1963,"Sorghum",18376,9198,0.5005,0.119132445067923
1963,"Soybean",18,8,0.4444,0.000116694819940282
1963,"Spices, nes",240,174,0.725,0.00155593093253709
1963,"Sugarcane",2242,91913.008,40.996,0.0145349881281173
1963,"Sweet potatoes",133,850,6.391,0.000862245058447638
1963,"Tea",334.036,346.413,1.0371,0.00216557060408733
1963,"Tobacco, unmanufactured",405,341,0.842,0.00262563344865634
1963,"Tomatoes",53,495,9.3396,0.000343601414268608
1963,"Vegetables, fresh nes",2000,13200,6.6,0.0129660911044758
1963,"Walnuts, with shell",15,13,0.8667,9.72456832835682e-05
1963,"Watermelons",7,77,11,4.53813188656652e-05
1963,"Wheat",13590,10776,0.7929,0.0881045890549128
1964,"Anise, badian, fennel, coriander",100,50,0.5,0.000641654256538633
1964,"Apples",26.5,110,4.1509,0.000170038377982738
1964,"Apricots",2.9,8.8,3.0345,1.86079734396204e-05
1964,"Areca nuts",135,120,0.8889,0.000866233246327155
1964,"Bananas",198,2684,13.5556,0.00127047542794649
1964,"Barley",2774,2038,0.7347,0.0177994890763817
1964,"Bastfibres, other",564,367.64,0.6518,0.00361893000687789
1964,"Beans, dry",7332.4,2059.4,0.2809,0.0470486567064387
1964,"Beans, green",85,200,2.3529,0.000545406118057838
1964,"Berries nes",NA,1,NA,NA
1964,"Cabbages and other brassicas",24,315,13.125,0.000153997021569272
1964,"Carrots and turnips",9.5,81,8.5263,6.09571543711702e-05
1964,"Cashew nuts, with shell",215,95,0.4419,0.00137955665155806
1964,"Cassava",244,2823,11.5697,0.00156563638595427
1964,"Castor",441,107,0.2426,0.00282969527133537
1964,"Cauliflowers and broccoli",50,500,10,0.000320827128269317
1964,"Cherries",1.3,3.3,2.5385,8.34150533500223e-06
1964,"Chickpea",9354,4502,0.4813,0.0600203391566238
1964,"Chillies and peppers, dry",716,475,0.6634,0.00459424447681661
1964,"Chillies and peppers, green",3.1,19,6.129,1.98912819526976e-05
1964,"Cocoa, beans",NA,NA,NA,NA
1964,"Coconuts",848,3746.949,4.4186,0.00544122809544761
1964,"Coffee, green",120,69.3,0.5775,0.00076998510784636
1964,"Coir",NA,187.4,NA,NA
1964,"Cotton",8268,3334,0.4032,0.0530519739306142
1964,"Cucumbers and gherkins",6.8,34,5,4.36324894446271e-05
1964,"Dry peas",1300.3,670.5,0.5157,0.00834343029777185
1964,"Eggplants (aubergines)",170,1150,6.7647,0.00109081223611568
1964,"Figs",0.9,2,2.2222,5.7748883088477e-06
1964,"Fruit, citrus nes",2.5,26,10.4,1.60413564134658e-05
1964,"Fruit, fresh nes",150,965,6.4333,0.00096248138480795
1964,"Fruit, stone nes",NA,0.5,NA,NA
1964,"Fruit, tropical fresh nes",235,1580,6.7234,0.00150788750286579
1964,"Garlic",35,126,3.6,0.000224578989788522
1964,"Ginger",23,21,0.913,0.000147580479003886
1964,"Grapefruit (inc. pomelos)",1.5,20,13.3333,9.6248138480795e-06
1964,"Grapes",5.6,90,16.0714,3.59326383661635e-05
1964,"Groundnut",7376,6004,0.814,0.0473284179622896
1964,"Jute",845.1,1091.484,1.2915,0.00542262012200799
1964,"Lemons and limes",48,450,9.375,0.000307994043138544
1964,"Lentils",785.3,289,0.368,0.00503891087659789
1964,"Lettuce and chicory",61,280,4.5902,0.000391409096488566
1964,"Linseed",1995,378.7,0.1898,0.0128010024179457
1964,"Maize",4618,4664,1.01,0.0296315935669541
1964,"Mangoes, mangosteens, guavas",850,7000,8.2353,0.00545406118057838
1964,"Melons, other (inc.cantaloupes)",10.5,150,14.2857,6.73736969365565e-05
1964,"Millet",18897.008,8506,0.4501,0.121253456190446
1964,"Mushrooms and truffles",NA,0.5,NA,NA
1964,"Nutmeg, mace and cardamoms",55,4,0.0727,0.000352909841096248
1964,"Okra",170,845,4.9706,0.00109081223611568
1964,"Onions",120,1290,10.75,0.00076998510784636
1964,"Oranges",56,691,12.3393,0.000359326383661635
1964,"Other oilseeds",490,97,0.198,0.0031441058570393
1964,"Other pulses",3112,1401,0.4502,0.0199682804634823
1964,"Papayas",6,151,25.1667,3.8499255392318e-05
1964,"Peaches and nectarines",10,45,4.5,6.41654256538633e-05
1964,"Pears",7.7,46,5.974,4.94073777534748e-05
1964,"Peas, green",65,600,9.2308,0.000417075266750112
1964,"Pepper (piper spp.)",103,24,0.233,0.000660903884234792
1964,"Pigeonpea",2517,1380,0.5483,0.0161504376370774
1964,"Pineapples",18.3,200,10.929,0.00011742272894657
1964,"Plums and sloes",3.7,15,4.0541,2.37412074919294e-05
1964,"Poppy seed",NA,1,NA,NA
1964,"Potato",415,2593,6.2482,0.00266286516463533
1964,"Pumpkins, squash and gourds",147,985,6.7007,0.000943231757111791
1964,"Rape and mustard",3046,915,0.3004,0.0195447886541668
1964,"Rice",36462,58962,1.6171,0.233959975019116
1964,"Rubber, natural",74,44.248,0.5979,0.000474824149838589
1964,"Safflower",455,62,0.1363,0.00291952686725078
